size,stop_loss,take_profit,price,order_type,side,offset,candle_index,user_id
1.0,2.0,0.0,11060.846685995888,0.0,2.0,1.0,14905.0,0.0
1.0,2.0,0.0,10648.242374999998,0.0,1.0,2.0,14938.0,0.0
1.0,2.0,0.0,11672.072851876012,0.0,1.0,1.0,15421.0,0.0
1.0,2.0,0.0,11554.863509619574,0.0,1.0,1.0,15427.0,0.0
1.0,2.0,0.0,11553.284723672423,0.0,1.0,1.0,15428.0,0.0
1.0,2.0,0.0,11531.01161581651,0.0,1.0,1.0,15430.0,0.0
4.0,2.0,0.0,11407.885124999993,0.0,2.0,2.0,15503.0,0.0
1.0,2.0,0.0,8914.669778970212,0.0,1.0,1.0,16029.0,0.0
1.0,2.0,0.0,8903.390398495214,0.0,1.0,1.0,16030.0,0.0
1.0,2.0,0.0,8767.281983504014,0.0,1.0,1.0,16039.0,0.0
3.0,2.0,0.0,6799.596875,0.0,2.0,2.0,16222.0,0.0
1.0,2.0,0.0,8340.121632143166,0.0,1.0,1.0,16494.0,0.0
1.0,2.0,0.0,8326.462484130816,0.0,1.0,1.0,16495.0,0.0
1.0,2.0,0.0,8248.376657699808,0.0,1.0,1.0,16499.0,0.0
3.0,2.0,0.0,8172.6297499999955,0.0,2.0,2.0,16575.0,0.0
1.0,2.0,0.0,8471.16602630182,0.0,1.0,1.0,16753.0,0.0
1.0,2.0,0.0,8459.396585815606,0.0,1.0,1.0,16754.0,0.0
1.0,2.0,0.0,8438.626142144683,0.0,1.0,1.0,16756.0,0.0
3.0,2.0,0.0,8639.544124999999,0.0,2.0,2.0,16792.0,0.0
1.0,2.0,0.0,10388.397967990475,0.0,1.0,1.0,17223.0,0.0
1.0,2.0,0.0,10349.204974450853,0.0,1.0,1.0,17227.0,0.0
2.0,2.0,0.0,10716.609749999998,0.0,2.0,2.0,17254.0,0.0
1.0,2.0,0.0,11196.644939297285,0.0,1.0,1.0,17484.0,0.0
1.0,2.0,0.0,11188.09289898499,0.0,1.0,1.0,17486.0,0.0
1.0,2.0,0.0,11155.543676094683,0.0,1.0,1.0,17488.0,0.0
1.0,2.0,0.0,11039.158000846843,0.0,1.0,1.0,17492.0,0.0
4.0,2.0,0.0,10669.847500000007,0.0,2.0,2.0,17592.0,0.0
1.0,2.0,0.0,10143.282962462736,0.0,2.0,1.0,17719.0,0.0
1.0,2.0,0.0,10152.961923467217,0.0,2.0,1.0,17720.0,0.0
1.0,2.0,0.0,10196.890577037606,0.0,2.0,1.0,17727.0,0.0
1.0,2.0,0.0,10209.185756183844,0.0,2.0,1.0,17728.0,0.0
1.0,2.0,0.0,10241.374962842057,0.0,2.0,1.0,17731.0,0.0
1.0,2.0,0.0,10314.394465980677,0.0,2.0,1.0,17736.0,0.0
6.0,2.0,0.0,9984.280124999997,0.0,1.0,2.0,17760.0,0.0
1.0,2.0,0.0,9824.910727908686,0.0,2.0,1.0,18019.0,0.0
1.0,2.0,0.0,10600.040874999999,0.0,1.0,2.0,18159.0,0.0
1.0,2.0,0.0,10391.86643664025,0.0,1.0,1.0,18210.0,0.0
1.0,2.0,0.0,10379.988310912606,0.0,1.0,1.0,18211.0,0.0
2.0,2.0,0.0,10640.618874999996,0.0,2.0,2.0,18240.0,0.0
1.0,2.0,0.0,11208.746057918084,0.0,1.0,1.0,18558.0,0.0
1.0,2.0,0.0,11106.630549013822,0.0,1.0,1.0,18571.0,0.0
2.0,2.0,0.0,11228.847250000003,0.0,2.0,2.0,18617.0,0.0
1.0,2.0,0.0,11392.548667596784,0.0,1.0,1.0,18736.0,0.0
1.0,2.0,0.0,10656.792875,0.0,2.0,2.0,18889.0,0.0
